,wave1_amp_middle,wave1_amp_max,wave1_phase_middle,wave2_amp_middle,wave2_amp_max,wave2_phase_middle,wave3_amp_middle,wave3_amp_max,wave3_phase_middle,wave4_amp_middle,wave4_amp_max,wave4_phase_middle,wave5_amp_middle,wave5_amp_max,wave5_phase_middle,wave6_amp_middle,wave6_amp_max,wave6_phase_middle,wave7_amp_middle,wave7_amp_max,wave7_phase_middle,wave8_amp_middle,wave8_amp_max,wave8_phase_middle,wave9_amp_middle,wave9_amp_max,wave9_phase_middle,ZW3_index,env_amp_mean,env_extent,env_start_lon,env_end_lon,nenv_amp_mean,nenv_extent,nenv_start_lon,nenv_end_lon
1979-01-16,1.39,1.47,0.75,0.73,1.21,146.25,3.01,3.01,99.75,1.43,2.27,76.50,3.15,4.16,22.50,1.05,1.25,15.75,0.18,1.05,35.25,0.26,0.38,3.00,0.33,0.48,36.00,-0.03,5.74,37.50,78.00,114.75,1.02,96.75,41.25,137.25
1979-01-17,1.39,1.48,0.75,0.64,1.14,151.50,2.86,2.88,100.50,1.42,2.15,78.75,3.26,4.37,24.75,1.08,1.31,15.75,0.30,1.27,45.75,0.24,0.33,5.25,0.24,0.46,33.75,-0.06,5.78,40.50,85.50,125.25,1.11,53.25,87.75,140.25
1979-01-18,1.39,1.47,359.25,0.56,1.09,159.75,2.71,2.75,102.00,1.34,2.03,81.00,3.04,4.21,26.25,1.05,1.14,15.75,0.35,1.46,0.00,0.09,0.39,39.75,0.21,0.58,37.50,-0.14,5.51,30.75,97.50,127.50,1.10,54.00,90.75,144.00
1979-01-19,1.42,1.46,358.50,0.47,1.08,165.75,2.55,2.64,103.50,1.26,1.88,81.75,2.70,3.76,27.75,1.17,1.25,15.00,0.24,1.44,3.75,0.20,0.53,43.50,0.14,0.53,33.75,-0.19,5.14,0.00,0.00,0.00,0.95,51.75,87.75,138.75
1979-01-20,1.42,1.45,357.75,0.50,0.99,168.00,2.40,2.50,105.00,1.27,1.76,82.50,2.36,3.27,29.25,1.15,1.20,15.00,0.22,1.32,1.50,0.18,0.52,44.25,0.12,0.51,36.00,-0.25,4.79,0.00,0.00,0.00,0.82,42.75,79.50,121.50
1979-01-21,1.42,1.44,355.50,0.53,0.89,171.00,2.28,2.38,105.00,1.23,1.80,82.50,1.92,2.60,30.75,1.30,1.32,15.00,0.26,1.45,48.00,0.11,0.30,3.75,0.11,0.59,33.75,-0.31,4.53,0.00,0.00,0.00,0.79,55.50,69.00,123.75
1979-01-22,1.44,1.46,352.50,0.52,0.93,170.25,2.18,2.28,105.75,1.30,1.94,81.75,1.43,1.78,30.75,1.16,1.30,17.25,0.41,1.49,51.00,0.13,0.35,44.25,0.11,0.60,32.25,-0.36,4.31,0.00,0.00,0.00,0.76,60.75,64.50,124.50
1979-01-23,1.43,1.44,351.00,0.53,0.98,168.00,1.90,2.01,106.50,1.34,2.11,81.75,1.09,1.57,30.75,0.82,1.08,16.50,0.42,1.49,2.25,0.18,0.56,43.50,0.19,0.49,36.75,-0.37,3.96,0.00,0.00,0.00,0.66,59.25,64.50,123.00
1979-01-24,1.41,1.42,348.00,0.56,0.96,162.75,1.59,1.66,105.75,1.25,2.20,79.50,0.65,1.68,33.00,0.92,0.98,13.50,0.48,1.40,3.75,0.21,0.62,5.25,0.17,0.54,33.00,-0.30,3.81,0.00,0.00,0.00,0.59,51.00,70.50,120.75
1979-01-25,1.39,1.41,344.25,0.61,0.98,156.75,1.43,1.45,102.75,1.40,2.21,78.00,0.23,1.62,14.25,0.95,1.08,15.00,0.38,1.38,9.75,0.06,0.62,13.50,0.19,0.59,36.00,-0.21,3.92,0.00,0.00,0.00,0.53,39.75,79.50,118.50
1979-01-26,1.36,1.37,342.00,0.63,1.00,153.75,1.40,1.44,99.75,1.42,2.26,78.00,1.01,1.81,10.50,0.81,0.94,15.00,0.21,1.32,14.25,0.11,0.69,30.00,0.24,0.64,36.75,-0.09,3.92,0.00,0.00,0.00,0.43,29.25,87.00,115.50
