,wave1_amp_middle,wave1_amp_max,wave1_phase_middle,wave2_amp_middle,wave2_amp_max,wave2_phase_middle,wave3_amp_middle,wave3_amp_max,wave3_phase_middle,wave4_amp_middle,wave4_amp_max,wave4_phase_middle,wave5_amp_middle,wave5_amp_max,wave5_phase_middle,wave6_amp_middle,wave6_amp_max,wave6_phase_middle,wave7_amp_middle,wave7_amp_max,wave7_phase_middle,wave8_amp_middle,wave8_amp_max,wave8_phase_middle,wave9_amp_middle,wave9_amp_max,wave9_phase_middle,ZW3_index,env_amp_mean,env_extent,env_start_lon,env_end_lon,nenv_amp_mean,nenv_extent,nenv_start_lon,nenv_end_lon
1979-01-16,71.44,71.44,269.25,18.05,26.34,102.00,46.79,47.06,70.50,14.94,26.87,54.00,27.32,38.39,5.25,7.22,8.25,59.25,0.59,6.74,26.25,2.05,2.25,37.50,1.86,2.51,25.50,-0.03,98.82,0.00,0.00,0.00,0.76,33.00,99.00,131.25
1979-01-17,71.74,71.88,269.25,16.12,24.94,107.25,44.55,44.79,71.25,14.92,25.40,56.25,28.23,40.30,6.75,7.15,8.58,0.00,2.04,8.34,35.25,1.97,2.01,39.00,1.48,2.50,23.25,-0.06,97.30,0.00,0.00,0.00,0.74,33.75,100.50,133.50
1979-01-18,72.76,72.76,267.75,14.35,23.64,114.75,42.15,42.28,72.75,14.00,23.49,57.75,26.40,38.71,9.00,6.79,7.50,59.25,2.68,9.51,39.75,0.73,2.04,35.25,1.31,3.11,27.00,-0.14,95.07,0.00,0.00,0.00,0.67,30.00,106.50,135.75
1979-01-19,74.16,74.16,267.00,12.75,21.41,120.00,39.81,39.81,74.25,13.07,21.39,58.50,23.57,34.78,9.75,8.07,8.84,58.50,1.83,9.18,42.75,1.54,3.18,34.50,1.07,3.02,23.25,-0.19,92.15,0.00,0.00,0.00,0.54,4.50,121.50,125.25
1979-01-20,73.94,74.24,266.25,13.58,20.70,121.50,37.30,37.30,75.75,13.25,19.96,59.25,20.70,30.49,11.25,7.61,8.14,59.25,1.84,8.45,40.50,1.42,3.27,36.00,0.90,2.91,24.75,-0.25,88.94,0.00,0.00,0.00,0.39,0.00,0.00,0.00
1979-01-21,73.40,74.15,264.75,14.47,19.88,123.75,35.07,35.14,75.75,12.76,20.41,60.00,16.95,24.31,12.75,8.69,8.95,59.25,1.84,9.13,36.75,1.12,2.19,39.00,0.90,3.20,23.25,-0.31,85.93,0.00,0.00,0.00,0.31,0.00,0.00,0.00
1979-01-22,74.11,75.10,262.50,14.97,21.28,122.25,33.56,33.73,76.50,13.56,22.33,59.25,12.84,17.08,13.50,7.32,8.51,1.50,2.93,9.41,38.25,1.14,2.33,36.00,1.00,3.18,22.50,-0.36,85.38,0.00,0.00,0.00,0.29,0.00,0.00,0.00
1979-01-23,73.83,75.08,260.25,15.77,23.06,120.00,29.34,29.49,78.00,13.91,24.55,59.25,10.47,11.43,13.50,5.15,6.90,59.25,2.99,9.51,40.50,1.23,3.48,34.50,1.32,2.52,26.25,-0.37,84.31,0.00,0.00,0.00,0.25,0.00,0.00,0.00
1979-01-24,73.14,75.17,257.25,16.68,22.78,116.25,24.28,24.34,77.25,12.87,25.91,56.25,6.95,12.16,16.50,6.77,7.13,57.00,3.44,8.89,42.00,1.60,3.96,39.00,1.24,1.79,23.25,-0.30,82.71,0.00,0.00,0.00,0.25,0.00,0.00,0.00
1979-01-25,72.02,74.82,254.25,18.01,23.36,111.75,21.45,22.46,75.00,14.97,26.91,55.50,1.31,11.73,3.75,6.94,7.81,58.50,2.56,8.24,48.00,0.62,4.11,0.75,1.40,1.94,26.25,-0.21,82.32,0.00,0.00,0.00,0.26,0.00,0.00,0.00
