Ellsworth Land,,,,
Start YYYY-MM-DD,Start Time UTC,End YYYY-MM-DD,End Time UTC,
1992-11-08,09:00,1992-11-09,18:00,skirt
1992-11-21,00:00,1992-11-23,23:00,
1993-01-22,21:00,1993-01-25,12:00,
1993-02-17,06:00,1993-02-18,12:00,skirt
1993-02-24,09:00,1993-02-27,09:00,
1993-03-18,09:00,1993-03-19,12:00,skirt
1993-05-11,18:00,1993-05-13,06:00,
1993-06-09,00:00,1993-06-13,06:00,
1993-06-03,03:00,1993-06-04,18:00,skirt
1993-06-29,18:00,1993-07-02,00:00,skirt
1993-07-05,12:00,1993-07-08,00:00,skirt
1993-07-20,00:00,1993-07-22,15:00,skirt
1993-08-08,21:00,1993-08-11,06:00,
1993-08-27,18:00,1993-08-31,06:00,skirt
1993-09-02,03:00,1993-09-05,21:00,
1993-10-15,06:00,1993-10-17,12:00,skirt
1994-03-29,00:00,1994-03-30,03:00,skirt
1994-04-15,21:00,1994-04-17,21:00,
1994-06-08,06:00,1994-06-09,21:00,skirt
1994-07-24,18:00,1994-07-27,12:00,
1994-08-04,15:00,1994-08-06,15:00,
1994-09-06,03:00,1994-09-07,21:00,skirt
1994-10-02,00:00,1994-10-04,12:00,skirt
1994-10-19,06:00,1994-10-20,12:00,skirt
1994-10-30,03:00,1994-10-31,12:00,skirt
1994-11-26,15:00,1994-11-30,15:00,skirt
1995-01-05,18:00,1995-01-09,00:00,
1995-02-18,15:00,1995-02-21,06:00,skirt
1995-03-24,12:00,1995-03-26,03:00,skirt
1995-04-26,18:00,1995-04-29,18:00,
1995-05-05,06:00,1995-05-06,15:00,skirt
1995-05-30,18:00,1995-06-02,03:00,
1995-06-13,15:00,1995-06-15,12:00,skirt
1995-06-26,09:00,1995-06-29,06:00,skirt
1995-07-27,15:00,1995-07-28,21:00,skirt
1995-08-12,15:00,1995-08-14,06:00,skirt
1995-08-20,18:00,1995-08-21,18:00,skirt
1995-09-10,00:00,1995-09-11,03:00,skirt
1995-10-12,06:00,1995-10-13,18:00,skirt
1995-10-26,12:00,1995-10-28,15:00,
1995-11-18,12:00,1995-11-22,09:00,
1995-11-09,00:00,1995-11-11,03:00,skirt
1995-12-08,12:00,1995-12-09,18:00,skirt
1996-03-06,09:00,1996-03-09,09:00,
1996-04-04,12:00,1996-04-05,12:00,skirt
1996-04-11,09:00,1996-04-13,03:00,skirt
1996-04-16,00:00,1996-04-17,06:00,skirt
1996-04-22,15:00,1996-04-24,18:00,skirt
1996-05-05,12:00,1996-05-07,03:00,skirt
1996-06-16,12:00,1996-06-17,18:00,skirt
1996-06-24,00:00,1996-06-27,00:00,skirt
1996-07-08,03:00,1996-07-12,03:00,
1996-08-01,18:00,1996-08-04,09:00,skirt
1996-08-08,06:00,1996-08-11,15:00,skirt
1996-09-10,18:00,1996-09-13,06:00,
1996-09-03,00:00,1996-09-04,12:00,skirt
1996-10-03,00:00,1996-10-04,12:00,skirt
1996-10-26,12:00,1996-10-28,12:00,
1996-10-29,21:00,1996-11-02,03:00,
1996-11-29,03:00,1996-12-02,03:00,skirt
1997-03-13,18:00,1997-03-15,21:00,skirt
1997-04-04,06:00,1997-04-06,21:00,skirt
1997-05-11,12:00,1997-05-14,00:00,
