Enderby Land,,,,
Start YYYY-MM-DD,Start Time UTC,End YYYY-MM-DD,End Time UTC,
1994-07-06,03:00,1994-07-09,00:00,
1994-11-04,03:00,1994-11-05,15:00,skirt
1995-04-19,18:00,1995-04-21,03:00,skirt
1996-09-18,18:00,1996-09-20,21:00,skirt
1996-10-07,06:00,1996-10-08,21:00,skirt
1996-10-27,00:00,1996-10-28,06:00,skirt
1997-03-04,15:00,1997-03-06,12:00,skirt
1997-04-26,12:00,1997-04-27,15:00,skirt
1997-06-17,18:00,1997-06-18,21:00,skirt
1998-05-13,21:00,1998-05-15,06:00,skirt
1998-07-20,00:00,1998-07-22,00:00,skirt
1998-07-25,18:00,1998-07-28,03:00,skirt
1999-01-07,03:00,1999-01-10,21:00,
1999-02-04,18:00,1999-02-07,21:00,skirt
1999-02-15,12:00,1999-02-16,21:00,skirt
1999-03-04,18:00,1999-03-06,18:00,skirt
1999-04-12,18:00,1999-04-17,21:00,
1999-05-10,18:00,1999-05-12,00:00,skirt
1999-06-10,21:00,1999-06-13,15:00,
1999-06-24,21:00,1999-06-27,06:00,
1999-07-02,06:00,1999-07-03,21:00,skirt
1999-09-07,18:00,1999-09-09,16:00,skirt
1999-09-11,06:00,1999-09-12,09:00,skirt
1999-10-05,03:00,1999-10-06,00:00,skirt
1999-10-26,03:00,1999-10-27,06:00,skirt
1999-11-04,18:00,1999-11-07,06:00,skirt
1999-12-20,12:00,1999-12-22,09:00,skirt
2000-01-09,06:00,2000-01-11,18:00,
2000-05-08,21:00,2000-05-09,21:00,skirt
2000-05-11,12:00,2000-05-16,03:00,
2000-06-11,12:00,2000-06-16,03:00,
2000-07-10,06:00,2000-07-11,21:00,skirt
2000-08-11,00:00,2000-08-12,21:00,skirt
2000-11-07,06:00,2000-11-09,18:00,
2000-12-26,03:00,2000-12-29,21:00,
2001-01-12,09:00,2001-01-13,18:00,skirt
2001-02-13,21:00,2001-02-15,03:00,skirt
2001-03-18,09:00,2001-03-19,15:00,skirt
2001-05-06,21:00,2001-05-08,09:00,skirt
2001-06-11,18:00,2001-06-13,12:00,skirt
2001-06-18,12:00,2001-06-19,15:00,skirt
2001-06-26,15:00,2001-06-27,21:00,skirt
2001-07-10,21:00,2001-07-12,09:00,skirt
2001-07-20,15:00,2001-07-22,18:00,skirt
2001-08-08,06:00,2001-08-09,18:00,skirt
2001-10-05,15:00,2001-10-08,06:00,skirt
2001-10-27,18:00,2001-10-28,21:00,skirt
2002-01-22,03:00,2002-01-24,21:00,
2002-02-16,06:00,2002-02-20,09:00,
2002-03-09,12:00,2002-03-12,09:00,
2002-04-09,15:00,2002-04-11,06:00,skirt
2002-04-20,18:00,2002-04-22,03:00,skirt
2002-05-02,18:00,2002-05-04,12:00,skirt
2002-07-01,03:00,2002-07-02,09:00,skirt
2002-07-15,03:00,2002-07-16,03:00,skirt
2002-10-05,00:00,2002-10-09,03:00,
2002-12-17,21:00,2002-12-20,12:00,
2003-01-21,06:00,2003-01-24,09:00,skirt
2003-01-27,12:00,2003-01-29,09:00,skirt
2003-04-10,18:00,2003-04-13,09:00,
