Queen Maud Land,,,,
Start YYYY-MM-DD,Start Time UTC,End YYYY-MM-DD,End Time UTC,
1992-11-14,03:00,1992-11-16,12:00,
1993-04-17,21:00,1993-04-19,21:00,
1993-04-27,12:00,1993-05-01,06:00,
1993-05-24,00:00,1993-05-27,06:00,
1993-05-30,03:00,1993-06-04,12:00,
1993-10-01,03:00,1993-10-03,12:00,
1993-11-23,03:00,1993-11-25,06:00,
1994-02-09,18:00,1994-02-12,12:00,
1994-06-03,12:00,1994-06-05,15:00,
1994-08-09,21:00,1994-08-12,00:00,
1994-09-16,15:00,1994-09-18,21:00,
1994-09-26,06:00,1994-09-28,18:00,
1994-10-24,18:00,1994-10-27,18:00,
1994-11-09,00:00,1994-11-11,15:00,
1995-04-18,06:00,1995-04-19,18:00,skirt
1995-06-09,00:00,1995-06-11,12:00,
1995-09-04,12:00,1995-09-06,18:00,
1995-11-27,03:00,1995-11-29,18:00,
1995-12-16,00:00,1995-12-19,12:00,
1996-01-08,12:00,1996-01-11,09:00,
1996-02-16,03:00,1996-02-19,21:00,
1996-07-18,09:00,1996-07-23,06:00,
1996-09-10,18:00,1996-09-13,06:00,
1996-09-16,06:00,1996-09-18,18:00,skirt
1996-10-25,18:00,1996-10-27,00:00,skirt
1996-11-15,06:00,1996-11-17,06:00,
1996-12-14,06:00,1996-12-17,03:00,
1997-06-16,18:00,1997-06-17,18:00,skirt
1997-06-22,15:00,1997-06-24,18:00,
1997-07-23,06:00,1997-07-29,09:00,
1997-11-01,12:00,1997-11-06,15:00,
1997-11-11,15:00,1997-11-15,03:00,
1998-05-06,06:00,1998-05-08,12:00,
1998-05-12,09:00,1998-05-13,21:00,skirt
1998-07-14,03:00,1998-07-16,12:00,
1998-07-18,00:00,1998-07-20,00:00,skirt
1998-08-14,15:00,1998-08-17,15:00,
1998-11-01,03:00,1998-11-03,06:00,
1999-01-13,06:00,1999-01-17,03:00,
1999-02-02,03:00,1999-02-04,18:00,skirt
1999-02-14,00:00,1999-02-15,12:00,skirt
1999-02-15,21:00,1999-02-17,21:00,
1999-04-13,15:00,1999-04-15,18:00,
1999-07-14,09:00,1999-07-18,21:00,
1999-07-19,09:00,1999-08-01,21:00,
1999-08-02,09:00,1999-08-07,12:00,
1999-09-06,03:00,1999-09-07,18:00,skirt
1999-09-10,00:00,1999-09-11,06:00,skirt
1999-09-22,00:00,1999-09-24,21:00,
1999-10-14,12:00,1999-10-21,18:00,
1999-11-02,06:00,1999-11-04,18:00,skirt
1999-12-19,00:00,1999-12-20,12:00,skirt
1999-12-24,21:00,1999-12-27,03:00,
2000-02-08,00:00,2000-02-12,00:00,
2000-04-24,21:00,2000-04-27,06:00,
2000-05-22,21:00,2000-05-27,18:00,
2000-06-15,12:00,2000-06-17,18:00,
2000-08-09,03:00,2000-08-11,00:00,skirt
2000-09-12,06:00,2000-09-15,06:00,
2000-10-23,18:00,2000-10-26,06:00,
2000-11-16,12:00,2000-11-20,21:00,
2001-01-25,12:00,2001-01-28,15:00,
2001-03-20,18:00,2001-04-01,21:00,
2001-03-17,03:00,2001-03-18,09:00,skirt
2001-05-05,09:00,2001-05-06,21:00,skirt
2001-05-24,12:00,2001-05-26,15:00,
2001-06-10,03:00,2001-06-11,18:00,skirt
2001-06-17,06:00,2001-06-18,12:00,skirt
2001-06-25,06:00,2001-06-26,15:00,skirt
2001-07-09,09:00,2001-07-10,21:00,skirt
2001-07-18,09:00,2001-07-20,15:00,skirt
2001-08-06,18:00,2001-08-08,06:00,skirt
2001-08-20,15:00,2001-08-24,00:00,skirt
2001-09-05,00:00,2001-09-07,21:00,
2001-09-09,00:00,2001-09-11,00:00,
2001-10-14,18:00,2001-10-17,00:00,
2001-10-26,18:00,2001-10-27,18:00,skirt
2001-10-28,18:00,2001-11-02,06:00,
2001-12-06,00:00,2001-12-08,18:00,
2001-12-22,06:00,2001-12-25,00:00,
2002-01-09,15:00,2002-01-12,21:00,
2002-02-12,06:00,2002-02-16,09:00,
2002-03-14,03:00,2002-03-17,18:00,
2002-03-26,03:00,2001-03-29,03:00,
2002-04-08,03:00,2002-04-09,15:00,skirt
2002-06-30,00:00,2002-07-01,03:00,skirt
2002-07-01,15:00,2002-07-03,21:00,
2002-08-11,12:00,2002-08-14,18:00,
2002-10-02,12:00,2002-10-07,21:00,
2002-10-16,12:00,2002-10-19,06:00,
2002-11-28,06:00,2002-11-30,06:00,
2003-02-22,06:00,2003-02-28,18:00,
2003-05-12,03:00,2003-05-15,03:00,
2003-08-21,15:00,2003-08-24,03:00,
2003-09-28,15:00,2003-09-30,15:00,
2003-10-29,15:00,2003-10-31,09:00,skirt
2003-12-05,09:00,2003-12-08,09:00,
2003-12-24,18:00,2003-12-27,00:00,
2003-12-27,15:00,2003-12-28,15:00,skirt
2004-02-21,00:00,2004-02-24,18:00,
2004-07-06,06:00,2004-07-08,06:00,
2004-10-02,09:00,2004-10-05,15:00,
2004-10-22,00:00,2004-10-22,21:00,skirt
