Wilkes Land,,,,
Start YYYY-MM-DD,Start Time UTC,End YYYY-MM-DD,End Time UTC,
1992-11-21,15:00,1992-11-22,21:00,skirt
1992-12-24,12:00,1992-12-28,03:00,
1993-02-22,03:00,1993-02-24,21:00,
1993-03-22,06:00,1993-03-23,09:00,skirt
1993-06-29,15:00,1993-07-01,09:00,skirt
1993-07-26,12:00,1993-07-29,00:00,skirt
1993-08-07,12:00,1993-08-08,15:00,skirt
1993-09-16,21:00,1993-09-18,21:00,
1993-10-25,12:00,1993-10-27,18:00,skirt
1993-11-19,00:00,1993-11-20,06:00,skirt
1993-12-22,03:00,1993-12-25,00:00,
1994-07-03,00:00,1994-07-04,12:00,skirt
1994-07-25,15:00,1994-07-27,03:00,skirt
1994-08-26,15:00,1994-08-28,18:00,
1994-09-06,06:00,1994-09-07,09:00,skirt
1994-10-01,15:00,1994-10-04,12:00,
1995-01-29,18:00,1995-02-02,03:00,
1995-03-08,18:00,1995-03-11,03:00,
1995-04-15,15:00,1995-04-17,18:00,
1995-06-27,09:00,1995-06-29,09:00,
1995-07-29,21:00,1995-08-04,06:00,
1995-07-19,12:00,1995-07-23,06:00,skirt
1995-08-29,21:00,1995-08-31,15:00,skirt
1996-01-26,18:00,1996-01-28,06:00,skirt
1996-03-16,09:00,1996-03-19,12:00,skirt
1996-09-17,00:00,1996-09-21,06:00,
1996-11-08,12:00,1996-11-10,09:00,skirt
1996-11-18,06:00,1996-11-19,09:00,skirt
1996-12-01,21:00,1996-12-05,18:00,
1997-05-24,18:00,1997-05-25,18:00,skirt
1997-06-20,21:00,1997-06-23,09:00,
1997-06-04,21:00,1997-06-07,12:00,skirt
1997-09-06,21:00,1997-09-07,21:00,skirt
1997-12-25,03:00,1997-12-26,09:00,skirt
1998-05-04,09:00,1998-05-05,18:00,skirt
1998-06-04,21:00,1998-06-06,06:00,skirt
1998-07-03,21:00,1998-07-05,06:00,skirt
1998-07-17,15:00,1998-07-19,18:00,
1998-08-04,21:00,1998-08-07,03:00,skirt
1998-09-18,18:00,1998-09-20,06:00,skirt
1998-10-19,06:00,1998-10-20,06:00,skirt
1998-11-23,06:00,1998-11-25,03:00,skirt
1998-12-16,21:00,1998-12-23,06:00,
1999-05-13,12:00,1995-05-15,03:00,skirt
1999-07-28,06:00,1999-07-29,06:00,skirt
1999-08-30,09:00,1999-08-31,00:00,skirt
1999-09-15,12:00,1999-09-16,21:00,skirt
1999-10-07,00:00,1999-10-07,21:00,skirt
1999-10-14,00:00,1999-10-15,18:00,skirt
1999-11-14,06:00,1999-11-16,00:00,skirt
1999-12-03,06:00,1999-12-04,06:00,skirt
2000-03-26,18:00,2000-03-29,12:00,
2000-05-10,21:00,2000-05-11,18:00,skirt
2000-05-13,06:00,2000-05-14,09:00,skirt
2000-05-29,21:00,2000-06-02,00:00,skirt
2000-07-10,18:00,2000-07-11,21:00,skirt
2000-08-18,21:00,2000-08-21,00:00,skirt
2000-08-21,18:00,2000-08-28,00:00,
2000-09-02,00:00,2000-09-04,18:00,
2000-12-28,18:00,2000-12-30,00:00,skirt
2001-01-25,09:00,2001-01-28,06:00,skirt
2001-03-11,00:00,2001-03-12,00:00,skirt
2001-03-27,06:00,2001-03-29,00:00,skirt
2001-05-23,12:00,2001-05-26,16:00,skirt
2001-06-04,12:00,2001-06-05,12:00,skirt
2001-07-11,03:00,2001-07-13,15:00,skirt
2001-07-29,09:00,2001-08-01,06:00,skirt
2001-08-04,06:00,2001-08-05,12:00,skirt
2001-08-31,21:00,2001-09-02,12:00,skirt
2001-11-22,06:00,2001-11-23,09:00,skirt
2002-01-02,00:00,2002-01-03,18:00,skirt
2002-01-08,06:00,2002-01-11,12:00,
2002-04-08,09:00,2002-04-11,18:00,skirt
2002-05-25,09:00,2002-05-26,18:00,skirt
2002-05-29,09:00,2002-06-01,09:00,
2002-06-05,09:00,2002-06-07,18:00,
2002-07-13,12:00,2002-07-16,21:00,
2002-10-07,09:00,2002-10-08,21:00,skirt
2002-11-01,15:00,2002-11-03,18:00,
2002-12-24,06:00,2002-12-25,09:00,skirt
2003-02-22,06:00,2003-02-23,12:00,skirt
2003-03-01,21:00,2003-03-04,12:00,
2003-03-15,06:00,2003-03-16,18:00,skirt
2003-06-15,18:00,2003-06-16,21:00,skirt
2004-01-31,00:00,2004-02-02,18:00,
2004-03-08,21:00,2004-03-09,18:00,skirt
2004-04-10,04:00,2004-04-11,09:00,skirt
2004-06-06,09:00,2004-06-09,03:00,
2004-08-04,18:00,2004-08-07,12:00,
2004-11-01,03:00,2004-11-02,09:00,skirt
2004-12-22,06:00,2004-12-25,06:00,
2004-12-31,06:00,2005-01-01,06:00,skirt
2005-02-05,06:00,2005-02-06,15:00,skirt
2005-04-17,09:00,2005-04-19,06:00,skirt
2005-04-22,15:00,2005-04-24,09:00,skirt
2005-06-16,03:00,2005-06-18,06:00,skirt
2005-08-08,15:00,2005-08-09,15:00,skirt
2005-08-11,21:00,2005-08-13,00:00,skirt
2005-09-17,12:00,2005-09-18,18:00,skirt
2005-10-04,00:00,2005-10-05,03:00,skirt
2005-11-10,06:00,2005-11-11,15:00,skirt
2005-12-01,03:00,2005-12-02,09:00,skirt
2006-03-01,18:00,2006-03-04,09:00,
2006-04-09,00:00,2006-04-10,03:00,skirt
2006-05-01,03:00,2006-05-02,18:00,skirt
2006-10-14,06:00,2006-10-15,18:00,skirt
2006-10-26,00:00,2006-10-27,00:00,skirt
2006-10-30,09:00,2006-10-31,12:00,skirt
2006-11-23,12:00,2006-11-25,06:00,skirt
2006-11-30,03:00,2006-12-02,06:00,
2007-03-02,03:00,2007-03-03,12:00,skirt
2007-03-11,21:00,2007-03-14,00:00,skirt
2007-05-22,00:00,2007-05-23,09:00,skirt
2007-05-23,18:00,2007-05-24,18:00,skirt
2007-06-23,09:00,2007-06-25,12:00,
2007-07-15,12:00,2007-07-17,03:00,skirt
2007-07-31,09:00,2007-08-03,12:00,
2007-10-01,00:00,2007-10-06,12:00,
2008-01-13,09:00,2008-01-15,15:00,
2008-04-30,06:00,2008-05-01,18:00,skirt
2008-06-25,03:00,2008-06-27,03:00,
2008-08-31,03:00,2008-09-02,09:00,
2008-08-15,18:00,2008-08-17,09:00,skirt
2008-11-04,03:00,2008-11-06,06:00,skirt
2008-11-08,03:00,2008-11-11,09:00,
2008-11-14,21:00,2008-11-16,06:00,skirt
2008-11-29,15:00,2008-12-02,15:00,skirt
2008-12-05,09:00,2008-12-06,09:00,skirt
2008-12-17,06:00,2008-12-19,09:00,
2009-02-11,09:00,2009-02-12,18:00,skirt
2009-02-19,09:00,2009-02-20,15:00,skirt
2009-02-25,09:00,2009-02-26,15:00,skirt
2009-03-19,09:00,2009-03-21,03:00,skirt
2009-04-27,07:00,2009-04-28,16:00,skirt
2009-04-29,13:00,2009-05-01,08:00,skirt
2009-06-04,05:00,2009-06-05,11:00,skirt
2009-06-13,00:00,2009-06-14,10:00,skirt
2009-06-30,20:00,2009-07-04,20:00,
2009-07-12,12:00,2009-07-14,18:00,skirt
2009-10-07,13:00,2009-10-08,16:00,skirt
2009-10-28,23:00,2009-10-31,13:00,
2009-11-08,11:00,2009-11-09,14:00,skirt
2009-11-15,12:00,2009-11-16,19:00,skirt
2009-12-03,13:00,2009-12-06,18:00,skirt
2009-12-08,21:00,2009-12-10,21:00,skirt
2010-01-02,06:00,2010-01-04,11:00,
2010-03-03,06:00,2010-03-04,20:00,skirt
2010-03-15,11:00,2010-03-16,23:00,skirt
2010-04-24,20:00,2010-04-26,20:00,
2010-05-11,06:00,2010-05-12,18:00,skirt
2010-05-27,18:00,2010-05-28,19:00,skirt
2010-08-13,23:00,2010-08-16,11:00,skirt
2010-10-15,02:00,2010-10-16,17:00,skirt
2010-11-07,02:00,2010-11-08,05:00,skirt
2010-11-12,23:00,2010-11-14,05:00,skirt
2010-12-07,21:00,2010-12-09,21:00,skirt
2010-12-21,14:00,2010-12-25,13:00,
2011-03-23,19:00,2011-03-26,05:00,
2011-04-16,22:00,2011-04-17,10:00,skirt
2011-04-24,05:00,2011-04-25,17:00,skirt
2011-05-08,14:00,2011-05-09,14:00,skirt
2011-08-14,22:00,2011-08-17,07:00,
2011-09-12,18:00,2011-09-13,19:00,skirt
2011-10-06,00:00,2011-10-08,08:00,skirt
2011-12-18,16:00,2011-12-20,00:00,skirt
2012-01-08,09:00,2012-01-11,05:00,skirt
2012-05-07,15:00,2012-05-10,13:00,
2012-06-11,12:00,2012-06-13,22:00,
2012-06-21,05:00,2012-06-22,12:00,skirt
2012-08-06,22:00,2012-08-08,19:00,skirt
2012-08-15,02:00,2012-08-18,00:00,
2012-09-20,04:00,2012-09-22,09:00,
2012-09-23,09:00,2012-09-24,18:00,skirt
